-96.5850900,39.1741100,-96.5835100,39.1746800
4364196647,778788508,0.029
778788508,778788520,0.018
778788520,1903949238,0.007
1903949238,778788708,0.010
1903949238,1903949240,0.008
4376747393,720504219,0.014
720504219,778788621,0.023
778788621,720504228,0.010
778788621,778788671,0.008
122022894,778788661,0.019
778788661,778788496,0.060
778788496,1903949240,0.022
1903949240,1903949242,0.004
1903949240,122022903,0.007
122022903,778788520,0.008
122022903,778788549,0.031
778788549,778791056,0.039
778788671,778788836,0.006
778788836,778788729,0.008
778788729,778788512,0.009
778788512,778788549,0.014
778791056,778788842,0.014
720504228,778788576,0.008
778788576,122022903,0.003
1903949242,1903949244,0.004
1903949244,778788706,0.010
778788706,843615247,0.013
843615247,778788809,0.008
778788809,778788853,0.010
778788853,4376747390,0.007
778788708,778788523,0.030
778788523,778788683,0.043
778788683,122022894,0.019
