-96.5873000,39.1855000,-96.5750000,39.1920000
3659517448,121996364,0.061
3659517448,121995147,0.030
121995147,3659517448,0.030
121996364,3659540652,0.003
121996364,3659517448,0.061
3659540652,121996369,0.054
3659540652,121996364,0.003
121996369,121996372,0.059
121996369,3659540652,0.054
121996372,122015378,0.028
121996372,2318553779,0.026
121996372,121996369,0.059
2318553779,2271964124,0.036
2318553779,121996372,0.026
2271964124,121996374,0.005
2271964124,2318553779,0.036
121996374,3709386010,0.004
121996374,3709386007,0.005
121996374,1846187283,0.004
121996374,2271964124,0.005
1846187283,1846187295,0.000
1846187283,121996374,0.004
1846187295,773426429,0.005
1846187295,1846187283,0.000
773426429,773425910,0.007
773426429,1846187295,0.005
773425910,961153106,0.004
773425910,773426429,0.007
961153106,773426325,0.003
961153106,773425910,0.004
773426325,773426239,0.008
773426325,961153106,0.003
773426239,773425940,0.009
773426239,773426325,0.008
773425940,773425902,0.026
773425940,773426239,0.009
773425902,773426088,0.012
773425902,867744094,0.002
773425902,773425940,0.026
867744094,867744199,0.006
867744094,773425902,0.002
867744199,3700410694,0.027
867744199,867744094,0.006
3700410694,773426206,0.012
3700410694,3700410695,0.014
3700410694,867744199,0.027
3700410695,3700410693,0.005
3700410695,3709414160,0.004
3700410695,3700410694,0.014
4376747484,121997136,0.034
4376747484,121997132,0.036
121997132,4376747484,0.036
121997136,121997138,0.041
121997136,4376747484,0.034
121997138,121997141,0.060
121997138,121997136,0.041
121997141,1136230289,0.062
121997141,121997138,0.060
1136230289,121997145,0.004
1136230289,121997141,0.062
121997145,3665384932,0.004
121997145,1136230289,0.004
3665384932,1209626688,0.058
3665384932,121997145,0.004
1209626688,121997149,0.008
1209626688,3665384932,0.058
121997149,122041966,0.054
121997149,1209627069,0.011
121997149,1209626688,0.008
121999259,121999262,0.087
121999259,121999253,0.077
121999253,121999259,0.077
121999262,3709414133,0.006
121999262,121999259,0.087
3709414133,121998312,0.081
3709414133,121999262,0.006
121998312,121999265,0.091
121998312,3709414133,0.081
121999265,121999270,0.091
121999265,121998312,0.091
121999270,121999272,0.087
121999270,121999265,0.091
121999272,121999276,0.088
121999272,121999270,0.087
121999276,121999278,0.087
121999276,121999272,0.088
121999278,121996981,0.087
121999278,121999276,0.087
121996981,121996691,0.089
121996981,121999278,0.087
121996691,3700438960,0.006
121996691,1529134361,0.036
121996691,121996981,0.089
2411831892,4375066461,0.003
2411831892,122011347,0.006
122011347,4375066462,0.064
122011347,867744274,0.002
122011347,2411831892,0.006
4375066461,726961824,0.004
4375066461,2411831892,0.003
726961824,1878084870,0.005
726961824,4375066461,0.004
1878084870,726961828,0.005
1878084870,726961824,0.005
726961828,1878084873,0.007
726961828,1878084870,0.005
1878084873,122011349,0.008
1878084873,726961828,0.007
122011349,1878084875,0.006
122011349,1878084873,0.008
1878084875,726961822,0.006
1878084875,122011349,0.006
726961822,1878084866,0.007
726961822,1878084875,0.006
1878084866,1878084865,0.004
1878084866,726961822,0.007
1878084865,726961817,0.004
1878084865,1878084866,0.004
726961817,1878084867,0.008
726961817,1878084865,0.004
1878084867,726961827,0.008
1878084867,726961817,0.008
726961827,122011354,0.019
726961827,1878084867,0.008
122011354,1878084879,0.008
122011354,726961827,0.019
1878084879,726961818,0.008
1878084879,122011354,0.008
726961818,726961819,0.021
726961818,1878084879,0.008
726961819,726961823,0.019
726961819,726961818,0.021
726961823,726961830,0.014
726961823,726961819,0.019
726961830,3659540630,0.020
726961830,726961823,0.014
3659540630,4309770206,0.005
